Date,Status,Fulfilment,Sales Channel ,ship-service-level,SKU,Category,Size,Courier Status,Qty,Amount,ship-city,ship-state,B2B,SKU_freq,year,month,day,Amount_missing,weekday,is_weekend,Amount_log,ship_city_grouped,ship_city_grouped_freq
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3160-KR-G-S,kurta,S,Shipped,1,685.0,CHENNAI,TAMIL NADU,False,36,2022,4,30,0,5,1,6.530877627725885,CHENNAI,5226
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3500-KR-XS,kurta,XS,Shipped,1,364.0,NOIDA,UTTAR PRADESH,False,13,2022,4,30,0,5,1,5.8998973535824915,NOIDA,1405
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405-KR-XS,kurta,XS,Shipped,1,399.0,Amravati.,MAHARASHTRA,False,222,2022,4,30,0,5,1,5.991464547107982,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET182-KR-DH-XS,Set,XS,Shipped,1,657.0,MUMBAI,MAHARASHTRA,False,30,2022,4,30,0,5,1,6.489204931325317,MUMBAI,5952
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0351-SET-L,Set,L,Shipped,1,771.0,MUMBAI,MAHARASHTRA,False,35,2022,4,30,0,5,1,6.648984550024776,MUMBAI,5952
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,PJNE3368-KR-6XL,kurta,6XL,Shipped,1,544.0,GUNTAKAL,ANDHRA PRADESH,False,24,2022,4,30,0,5,1,6.300785794663244,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3721-KR-XXL,kurta,XXL,Shipped,1,329.0,JAIPUR,RAJASTHAN,False,106,2022,4,30,0,5,1,5.799092654460526,JAIPUR,936
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3405-KR-XL,kurta,XL,Shipped,1,399.0,NEW DELHI,DELHI,False,195,2022,4,30,0,5,1,5.991464547107982,NEW DELHI,5628
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3697-KR-XXL,kurta,XXL,Shipped,1,458.0,Gurgaon,HARYANA,False,66,2022,4,30,0,5,1,6.129050210060545,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET254-KR-NP-XS,Set,XS,Shipped,1,886.0,BENGALURU,KARNATAKA,False,15,2022,4,30,0,5,1,6.787844982309579,BENGALURU,10666
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3795-KR-XXXL,kurta,3XL,Shipped,1,517.0,TIRUCHIRAPPALLI,TAMIL NADU,False,33,2022,4,30,0,5,1,6.249975242259483,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET345-KR-NP-M,Set,M,Shipped,1,666.0,BENGALURU,KARNATAKA,False,258,2022,4,30,0,5,1,6.502790045915623,BENGALURU,10666
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3373-KR-L,kurta,L,Shipped,1,376.0,HYDERABAD,TELANGANA,False,123,2022,4,30,0,5,1,5.932245187448011,HYDERABAD,7744
2022-04-30,Cancelled,Merchant,Amazon.in,Standard,SET291-KR-PP-M,Set,M,Unknown,0,570.48,pune,MAHARASHTRA,False,207,2022,4,30,0,5,1,6.348229486996957,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,MEN5002-KR-L,kurta,L,Shipped,1,499.0,TEZPUR,ASSAM,False,64,2022,4,30,0,5,1,6.214608098422191,Other,70164
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,NW030-TP-PJ-XS,Set,XS,Shipped,1,582.0,RANCHI,JHARKHAND,False,23,2022,4,30,0,5,1,6.368187186350492,Other,70164
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3415-KR-XXXL,kurta,3XL,Shipped,1,299.0,BILASPUR,CHHATTISGARH,False,5,2022,4,30,0,5,1,5.703782474656201,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,PJNE2199-KR-N-4XL,kurta,4XL,Shipped,1,459.0,PUNE,MAHARASHTRA,False,52,2022,4,30,0,5,1,6.131226489483141,PUNE,3749
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3567-KR-M,kurta,M,Shipped,1,399.0,BENGALURU,KARNATAKA,False,307,2022,4,30,0,5,1,5.991464547107982,BENGALURU,10666
2022-04-30,Cancelled,Merchant,Amazon.in,Standard,JNE2132-KR-398-XXXL,kurta,3XL,Unknown,0,603.0,GUWAHATI,ASSAM,False,5,2022,4,30,0,5,1,6.403574197934815,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0341-DR-S,Western Dress,S,Shipped,1,791.0,THIRUVARUR,TAMIL NADU,False,262,2022,4,30,0,5,1,6.674561391814426,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,MEN5009-KR-XL,kurta,XL,Shipped,1,499.0,LUCKNOW,UTTAR PRADESH,False,64,2022,4,30,0,5,1,6.214608098422191,LUCKNOW,1424
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3766-KR-M,kurta,M,Shipped,1,517.0,JEYPUR,ODISHA,False,14,2022,4,30,0,5,1,6.249975242259483,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3373-KR-XL,kurta,XL,Shipped,1,376.0,HYDERABAD,TELANGANA,False,182,2022,4,30,0,5,1,5.932245187448011,HYDERABAD,7744
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5001-KR-XL,kurta,XL,Shipped,1,499.0,LUCKNOW,UTTAR PRADESH,False,13,2022,4,30,0,5,1,6.214608098422191,LUCKNOW,1424
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET345-KR-NP-L,Set,L,Shipped,1,666.0,CHENNAI,TAMIL NADU,False,210,2022,4,30,0,5,1,6.502790045915623,CHENNAI,5226
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3787-KR-S,kurta,S,Shipped,1,487.0,NEW DELHI,DELHI,False,53,2022,4,30,0,5,1,6.1903154058531475,NEW DELHI,5628
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3543-KR-S,kurta,S,Shipped,1,368.0,NEW DELHI,DELHI,False,48,2022,4,30,0,5,1,5.910796644040527,NEW DELHI,5628
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3405-KR-L,kurta,L,Shipped,1,399.0,THIRUVANANTHAPURAM,KERALA,False,493,2022,4,30,0,5,1,5.991464547107982,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0211-DR-XXL,Ethnic Dress,XXL,Shipped,1,699.0,GREATER NOIDA,UTTAR PRADESH,False,5,2022,4,30,0,5,1,6.551080335043404,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0401-DR-XXXL,Western Dress,3XL,Shipped,1,885.0,JABALPUR,MADHYA PRADESH,False,17,2022,4,30,0,5,1,6.786716950605081,Other,70164
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE2153-KR-278-A-M,kurta,M,Shipped,1,424.0,MUMBAI,MAHARASHTRA,False,17,2022,4,30,0,5,1,6.052089168924417,MUMBAI,5952
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET360-KR-NP-M,Set,M,Shipped,1,1126.0,LUCKNOW,UTTAR PRADESH,False,16,2022,4,30,0,5,1,7.027314514039777,LUCKNOW,1424
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET268-KR-NP-L,Set,L,Shipped,1,788.0,MUMBAI,MAHARASHTRA,False,333,2022,4,30,0,5,1,6.670766320845874,MUMBAI,5952
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET183-KR-DH-S,Set,S,Shipped,1,759.0,KOLKATA,WEST BENGAL,False,79,2022,4,30,0,5,1,6.633318433280377,KOLKATA,2337
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0230-SKD-L,Set,L,Shipped,1,1146.0,ONGOLE,ANDHRA PRADESH,False,291,2022,4,30,0,5,1,7.044905117129371,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3744-TU-S,Top,S,Shipped,1,665.0,SECUNDERABAD,TELANGANA,False,10,2022,4,30,0,5,1,6.501289670540389,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3510-KR-S,kurta,S,Shipped,1,429.0,HYDERABAD,TELANGANA,False,139,2022,4,30,0,5,1,6.063785208687608,HYDERABAD,7744
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405-KR-M,kurta,M,Shipped,1,399.0,KEWALPUR,UTTAR PRADESH,False,377,2022,4,30,0,5,1,5.991464547107982,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0186-SET-S,Set,S,Shipped,1,848.0,CUTTACK,ODISHA,False,1,2022,4,30,0,5,1,6.744059186311348,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0003-SET-M,Set,M,Shipped,1,654.0,BADLAPUR,MAHARASHTRA,False,277,2022,4,30,0,5,1,6.484635235635252,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET282-KR-PP-M,Set,M,Shipped,1,1033.0,dimapur,NAGALAND,False,56,2022,4,30,0,5,1,6.9411900550683745,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE1407-BLACK-KR-UDF18-XL,kurta,XL,Shipped,1,390.0,BENGALURU,KARNATAKA,False,1,2022,4,30,0,5,1,5.968707559985366,BENGALURU,10666
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0301-TP-L,Top,L,Shipped,1,493.0,BENGALURU,KARNATAKA,False,131,2022,4,30,0,5,1,6.202535517187923,BENGALURU,10666
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3869-DR-S,Western Dress,S,Shipped,1,721.0,WARANGAL,TELANGANA,False,44,2022,4,30,0,5,1,6.582025138892826,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET324-KR-NP-XS,Set,XS,Shipped,1,597.0,DHAULPUR,RAJASTHAN,False,143,2022,4,30,0,5,1,6.393590753950631,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3405-KR-L,kurta,L,Shipped,1,399.0,GUWAHATI,ASSAM,False,493,2022,4,30,0,5,1,5.991464547107982,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET279-LC-S,Set,S,Shipped,1,888.0,Bengaluru,KARNATAKA,False,35,2022,4,30,0,5,1,6.790097235513905,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE2014-KR-178-XXL,kurta,XXL,Shipped,1,353.0,HYDERABAD,TELANGANA,False,50,2022,4,30,0,5,1,5.869296913133774,HYDERABAD,7744
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,NW005-ST-PJ-XL,Set,XL,Shipped,1,599.0,BENGALURU,KARNATAKA,False,35,2022,4,30,0,5,1,6.396929655216146,BENGALURU,10666
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE2270-KR-487-A-M,kurta,M,Shipped,1,518.0,NAGPUR,MAHARASHTRA,False,54,2022,4,30,0,5,1,6.251903883165888,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3579-KR-M,kurta,M,Shipped,1,295.0,NAGPUR,MAHARASHTRA,False,23,2022,4,30,0,5,1,5.69035945432406,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET347-KR-NP-XS,Set,XS,Shipped,1,852.0,GREATER NOIDA,UTTAR PRADESH,False,67,2022,4,30,0,5,1,6.748759547491679,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET264-KR-NP-M,Set,M,Shipped,1,824.0,THANE,MAHARASHTRA,False,132,2022,4,30,0,5,1,6.715383386334681,THANE,1670
2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,JNE3373-KR-XXL,kurta,XXL,Cancelled,0,603.0,Dahod,Gujarat,False,219,2022,4,30,0,5,1,6.403574197934815,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET333-KR-DPT-XXL,Set,XXL,Shipped,1,909.0,RANCHI,JHARKHAND,False,32,2022,4,30,0,5,1,6.813444599510896,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3645-TP-N-L,Top,L,Shipped,1,432.0,PUNE,MAHARASHTRA,False,68,2022,4,30,0,5,1,6.07073772800249,PUNE,3749
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET233-KR-PP-L,Set,L,Shipped,1,545.0,BENGALURU,KARNATAKA,False,48,2022,4,30,0,5,1,6.302618975744905,BENGALURU,10666
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0381-SKD-XXXL,Set,3XL,Shipped,1,1146.0,VIJAPURA,KARNATAKA,False,11,2022,4,30,0,5,1,7.044905117129371,Other,70164
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3068-KR-A-XL,kurta,XL,Shipped,1,696.0,CHENNAI,TAMIL NADU,False,13,2022,4,30,0,5,1,6.546785410760524,CHENNAI,5226
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3718-KR-M,kurta,M,Shipped,1,432.0,MUMBAI,MAHARASHTRA,False,48,2022,4,30,0,5,1,6.07073772800249,MUMBAI,5952
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET386-KR-NP-S,Set,S,Shipped,1,631.0,bangalore,KARNATAKA,False,19,2022,4,30,0,5,1,6.448889394146858,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3745-KR-XXL,kurta,XXL,Shipped,1,316.0,BENGALURU,KARNATAKA,False,12,2022,4,30,0,5,1,5.75890177387728,BENGALURU,10666
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3467-KR-XL,kurta,XL,Shipped,1,362.0,BERHAMPUR,ODISHA,False,5,2022,4,30,0,5,1,5.8944028342648505,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3721-KR-L,kurta,L,Shipped,1,329.0,HYDERABAD,TELANGANA,False,133,2022,4,30,0,5,1,5.799092654460526,HYDERABAD,7744
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3405-KR-XXL,kurta,XXL,Shipped,1,399.0,PUNE,MAHARASHTRA,False,197,2022,4,30,0,5,1,5.991464547107982,PUNE,3749
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET295-KR-NP-XXXL,Set,3XL,Shipped,1,751.0,TEZPUR,ASSAM,False,31,2022,4,30,0,5,1,6.62273632394984,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3861-DR-XL,Western Dress,XL,Shipped,1,791.0,HIMMATNAGAR,Gujarat,False,58,2022,4,30,0,5,1,6.674561391814426,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET288-KR-NP-XXXL,Set,3XL,Shipped,1,684.0,Kolkata,WEST BENGAL,False,43,2022,4,30,0,5,1,6.529418838262226,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET397-KR-NP-XXXL,Set,3XL,Shipped,1,1186.0,Kolkata,WEST BENGAL,False,74,2022,4,30,0,5,1,7.079184394609668,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,MEN5002-KR-XXL,kurta,XXL,Shipped,1,499.0,HYDERABAD,TELANGANA,False,23,2022,4,30,0,5,1,6.214608098422191,HYDERABAD,7744
2022-04-30,Cancelled,Merchant,Amazon.in,Standard,SET377-KR-NP-M,Set,M,Unknown,0,1105.36,DEHRADUN,UTTARAKHAND,False,15,2022,4,30,0,5,1,7.008830626407053,Other,70164
2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,JNE3510-KR-M,kurta,M,Cancelled,0,603.0,HYDERABAD,TELANGANA,False,123,2022,4,30,0,5,1,6.403574197934815,HYDERABAD,7744
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,BTM038-PP-XXXL,Bottom,3XL,Shipped,1,377.0,KOLKATA,WEST BENGAL,False,7,2022,4,30,0,5,1,5.934894195619588,KOLKATA,2337
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0343-DR-M,Western Dress,M,Shipped,1,744.0,DHARMAPURI,TAMIL NADU,False,95,2022,4,30,0,5,1,6.61338421837956,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0341-DR-XL,Western Dress,XL,Shipped,1,744.0,DEHRADUN,UTTARAKHAND,False,208,2022,4,30,0,5,1,6.61338421837956,Other,70164
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0295-DR-XXL,Western Dress,XXL,Shipped,1,859.0,JAIPUR,RAJASTHAN,False,16,2022,4,30,0,5,1,6.756932389247553,JAIPUR,936
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3560-KR-M,kurta,M,Shipped,1,487.0,VADODARA,Gujarat,False,77,2022,4,30,0,5,1,6.1903154058531475,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0333-DR-XXXL,Western Dress,3XL,Shipped,1,825.0,CHAVAKKAD,KERALA,False,36,2022,4,30,0,5,1,6.716594773520978,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET389-KR-NP-M,Set,M,Shipped,1,680.0,PATNA,BIHAR,False,29,2022,4,30,0,5,1,6.523562306149512,PATNA,755
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3801-KR-XXXL,kurta,3XL,Shipped,1,725.0,CHENNAI,TAMIL NADU,False,81,2022,4,30,0,5,1,6.587550014824796,CHENNAI,5226
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET098-KR-PP-M,Set,M,Shipped,1,696.0,VADODARA,Gujarat,False,66,2022,4,30,0,5,1,6.546785410760524,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,MEN5013-KR-L,kurta,L,Shipped,1,499.0,VADODARA,Gujarat,False,28,2022,4,30,0,5,1,6.214608098422191,Other,70164
2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,JNE3405-KR-L,kurta,L,Cancelled,0,603.0,PUNE,MAHARASHTRA,False,493,2022,4,30,0,5,1,6.403574197934815,PUNE,3749
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,J0003-SET-L,Set,L,Shipped,1,696.0,Jammu,JAMMU & KASHMIR,False,136,2022,4,30,0,5,1,6.546785410760524,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3718-KR-XXXL,kurta,3XL,Shipped,1,406.0,bangalore,KARNATAKA,False,84,2022,4,30,0,5,1,6.008813185442595,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET347-KR-NP-S,Set,S,Shipped,1,852.0,NEW DELHI,DELHI,False,58,2022,4,30,0,5,1,6.748759547491679,NEW DELHI,5628
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3405-KR-XXL,kurta,XXL,Shipped,1,399.0,NARNAUND,HARYANA,False,197,2022,4,30,0,5,1,5.991464547107982,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3391-KR-XXL,kurta,XXL,Shipped,1,432.0,Ahmedabad,Gujarat,False,5,2022,4,30,0,5,1,6.07073772800249,Other,70164
2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,SET347-KR-NP-S,Set,S,Cancelled,0,603.0,NEW DELHI,DELHI,False,58,2022,4,30,0,5,1,6.403574197934815,NEW DELHI,5628
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0293-DR-S,Western Dress,S,Shipped,1,472.0,GWALIOR,MADHYA PRADESH,False,12,2022,4,30,0,5,1,6.159095388491933,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET268-KR-NP-L,Set,L,Shipped,1,788.0,NEW DELHI,DELHI,False,333,2022,4,30,0,5,1,6.670766320845874,NEW DELHI,5628
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET154-KR-NP-XL,Set,XL,Shipped,1,832.0,ROHTAK,HARYANA,False,14,2022,4,30,0,5,1,6.725033642166843,Other,70164
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3439-KR-XL,kurta,XL,Shipped,1,399.0,ROHTAK,HARYANA,False,53,2022,4,30,0,5,1,5.991464547107982,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET291-KR-PP-XL,Set,XL,Shipped,1,599.0,ROHTAK,HARYANA,False,115,2022,4,30,0,5,1,6.396929655216146,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET293-KR-NP-M,Set,M,Shipped,1,692.0,Kolkata,WEST BENGAL,False,122,2022,4,30,0,5,1,6.541029999189903,Other,70164
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3648-TP-N-M,Top,M,Shipped,1,518.0,MUMBAI,MAHARASHTRA,False,30,2022,4,30,0,5,1,6.251903883165888,MUMBAI,5952
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3334-KR-M,kurta,M,Shipped,1,318.0,HYDERABAD,TELANGANA,False,31,2022,4,30,0,5,1,5.765191102784844,HYDERABAD,7744
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET331-KR-NP-XS,Set,XS,Shipped,1,597.0,HYDERABAD,TELANGANA,False,82,2022,4,30,0,5,1,6.393590753950631,HYDERABAD,7744
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET265-KR-NP-S,Set,S,Shipped,1,888.0,PATNA,BIHAR,False,35,2022,4,30,0,5,1,6.790097235513905,PATNA,755
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3718-KR-S,kurta,S,Shipped,1,406.0,RAMAGUNDAM,TELANGANA,False,38,2022,4,30,0,5,1,6.008813185442595,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET397-KR-NP  -M,Set,M,Shipped,1,1186.0,PITHORAGARH,UTTARAKHAND,False,163,2022,4,30,0,5,1,7.079184394609668,Other,70164
2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,JNE3861-DR-XXL,Western Dress,XXL,Unshipped,1,791.0,HIMMATNAGAR,Gujarat,False,53,2022,4,30,0,5,1,6.674561391814426,Other,70164
2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,J0335-DR-XL,Western Dress,XL,Unshipped,1,807.0,HIMMATNAGAR,Gujarat,False,97,2022,4,30,0,5,1,6.694562058521095,Other,70164
2022-04-30,Cancelled,Amazon,Amazon.in,Expedited,J0335-DR-XXL,Western Dress,XXL,Unshipped,1,807.0,HIMMATNAGAR,Gujarat,False,63,2022,4,30,0,5,1,6.694562058521095,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE1525-KR-UDF19-A-S,kurta,S,Shipped,1,311.0,KOLKATA,WEST BENGAL,False,8,2022,4,30,0,5,1,5.7430031878094825,KOLKATA,2337
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3654-TP-XL,Top,XL,Shipped,1,387.0,MUMBAI,MAHARASHTRA,False,53,2022,4,30,0,5,1,5.961005339623274,MUMBAI,5952
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3261-KR-S,kurta,S,Shipped,1,348.0,HYDERABAD,TELANGANA,False,12,2022,4,30,0,5,1,5.855071922202427,HYDERABAD,7744
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET324-KR-NP-S,Set,S,Shipped,1,597.0,"GUWAHATI, KAMRUP (M)",ASSAM,False,172,2022,4,30,0,5,1,6.393590753950631,Other,70164
2022-04-30,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET332-KR-PP-S,Set,S,Shipped,1,549.0,"GUWAHATI, KAMRUP (M)",ASSAM,False,12,2022,4,30,0,5,1,6.309918278226516,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET324-KR-NP-XXXL,Set,3XL,Shipped,1,635.0,KOLAR,KARNATAKA,False,102,2022,4,30,0,5,1,6.455198563340122,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET324-KR-NP-XS,Set,XS,Shipped,1,597.0,PATIALA,PUNJAB,False,143,2022,4,30,0,5,1,6.393590753950631,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET280-KR-PP-S,Set,S,Shipped,1,790.0,REWA,MADHYA PRADESH,False,51,2022,4,30,0,5,1,6.673297967767654,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,JNE3618-KR-XXL,kurta,XXL,Shipped,1,375.0,BONGAIGAON,ASSAM,False,98,2022,4,30,0,5,1,5.929589143389895,Other,70164
2022-04-30,Shipped,Amazon,Amazon.in,Expedited,SET304-KR-DPT-XS,Set,XS,Shipped,1,1115.0,HYDERABAD,TELANGANA,False,102,2022,4,30,0,5,1,7.017506142941256,HYDERABAD,7744
